_id,OBJECTID,FLOC_ID,Building Description,Address,City,Ward Name,Former Municipality,District,City Cluster,Building Type,Building Status,Jurisdiction,Management,Owner,Gross Floor Area (M2),Gross Floor Area (FT2),Year Built,WARD,geometry
2113,2113,000582-B04,ASHBRIDGES BAY TP - BLOWER BUILDING,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,6919,74476,1959,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2114,2114,000582-B03,ASHBRIDGES BAY TP - 'D' BLDG (PRIMARY TANK),9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,13180,141871,1975,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2115,2115,000582-B02,ASHBRIDGES BAY TP-DIGESTION TANK&CONTROL BLDG 5-8,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,3234,34811,1962,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2116,2116,000582-B33,ASHBRIDGES BAY TP - SOUTH SUB-STATION BLDG,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Pumping Station - Above Ground,City Use,Toronto Water,Toronto Water,City of Toronto,5,55,1957,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2117,2117,000740-B02,EAST TORONTO ATHLETIC FIELD - STORAGE BLDG,175 MAIN ST,TORONTO,Beaches-East York,Toronto (Old),South,Citizen-Focused Services Group A,Park Storage Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,18,192,1962,19,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.299272767922, 43.6846020353579]]}"
2118,2118,000740-B03,TED REEVE COMMUNITY ARENA,175 MAIN ST,TORONTO,Beaches-East York,Toronto (Old),South,Citizen-Focused Services Group A,Arena,City Use,"Parks, Forestry & Recreation",Board of Management - Arenas,City of Toronto,4515,48600,1967,19,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.299272767922, 43.6846020353579]]}"
2119,2119,001665-B01,MAIN SQUARE COMMUNITY CENTRE & INDOOR POOL,245 MAIN ST,TORONTO,Beaches-East York,Toronto (Old),South,Citizen-Focused Services Group A,Community Recreation Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,3263,35123,2003,19,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2997871822482, 43.6871640961356]]}"
2120,2120,007021-B01,MAIN ST - POLICE ROOFTOP ANTENNA,275 MAIN ST,TORONTO,Beaches-East York,Toronto (Amal),South,None,Control/Operating Building,City Use,Landlord,Landlord,Third Party Organization,16,175,,19,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3011894796371, 43.6875962027364]]}"
2121,2121,005851-B01,COLONEL SAMUEL SMITH PARK - GATE HOUSE,3101 LAKE SHORE BLVD W,TORONTO,Etobicoke-Lakeshore,Metro Toronto,West,Citizen-Focused Services Group A,Office Building - Small,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,285,3068,1898,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5130767167919, 43.5987843940921]]}"
2122,2122,005851-B02,COLONEL SAMUEL SMITH PARK - CUMBERLAND HOUSE /JEAN TWEED CTR,3111 LAKE SHORE BLVD W,ETOBICOKE,Etobicoke-Lakeshore,Metro Toronto,West,Citizen-Focused Services Group A,Office Building - Large,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,914,9840,1895,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5118452287358, 43.5960573065128]]}"
2123,2123,005962-B01,LAKESHORE LODGE & MARGUERITE BUTT CHILD CARE CENTRE,3197 LAKE SHORE BLVD W,ETOBICOKE,Etobicoke-Lakeshore,Etobicoke,West,Citizen-Focused Services Group A,Long-Term Care Facility,City Use,Long-Term Care Homes & Services,Long-Term Care Homes & Services,City of Toronto,6911,74385,1990,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5185574424511, 43.5973456821482]]}"
2124,2124,007510-B01,TTC HYDRO SUBSTATION & STEEL SHED,3236 LAKE SHORE BLVD W,ETOBICOKE,Etobicoke-Lakeshore,None,West,"Agencies, Boards, and Commissions",Control/Operating Building,City Use,Toronto Transit Commission,Toronto Transit Commission,City of Toronto,72,777,1947,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.521930337586, 43.5973683266299]]}"
2125,2125,005823-B01,LAWRENCE EAST STATION & SUBSTATION,2444 LAWRENCE AVE E,TORONTO,Scarborough Centre,Scarborough,East,"Agencies, Boards, and Commissions",Subway/LRT Station,City Use,Toronto Transit Commission,Toronto Transit Commission,City of Toronto,,,,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2703800600176, 43.7506677914686]]}"
2126,2126,005358-B01,LAWRENCE LRT STATION,2444 LAWRENCE AVE E,TORONTO,Scarborough Centre,Metro Toronto,East,"Agencies, Boards, and Commissions",Subway/LRT Station,City Use,Toronto Transit Commission,Toronto Transit Commission,City of Toronto,,,,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2703800600176, 43.7506677914686]]}"
2127,2127,003895-B01,EMS STATION NO. 28,2900 LAWRENCE AVE E,SCARBOROUGH,Scarborough Centre,Metro Toronto,East,Citizen-Focused Services Group A,EMS Station/Facility,City Use,Toronto Paramedic Services,Toronto Paramedic Services,City of Toronto,330,3555,1983,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2533835197115, 43.7541704466011]]}"
2128,2128,003888-B01,BENDALE ACRES,2920 LAWRENCE AVE E,SCARBOROUGH,Scarborough Centre,Scarborough,East,Citizen-Focused Services Group A,Long-Term Care Facility,City Use,Long-Term Care Homes & Services,Long-Term Care Homes & Services,City of Toronto,16339,175869,1963,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2521559684256, 43.7548865005979]]}"
2129,2129,000582-B11,ASHBRIDGES BAY TP-DIGESTION TANK&CONTROL BLDG19-22,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,3975,42784,1997,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2130,2130,000582-B12,ASHBRIDGES BAY TP - BIO-SOLIDS TRUCK FACILITY,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,2010,21635,1999,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2131,2131,000582-B43,ASHBRIDGES BAY TP - TRAINING CENTRE,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,191,2057,1950,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2132,2132,000582-B13,ASHBRIDGES BAY TP - WATER TOWER (PLANT WATER),9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,59,640,1993,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2133,2133,000582-B01,ASHBRIDGES BAY TP - CHEMICAL GALLERY,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,1599,17209,1975,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2134,2134,005131-B01,MAIN ST SUBWAY STATION,315 MAIN ST,TORONTO,Beaches-East York,Metro Toronto,South,"Agencies, Boards, and Commissions",Subway/LRT Station,City Use,Toronto Transit Commission,Toronto Transit Commission,City of Toronto,5787,62291,,19,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.301501878933, 43.6890821939726]]}"
2135,2135,000549-B14,EXPLACE - COLISEUM COMPLEX & CATTLE BLDG,45 MANITOBA DR,TORONTO,Spadina-Fort York,Metro Toronto,South,"Agencies, Boards, and Commissions",Warehouse & Office,City Use,Exhibition Place Board,Exhibition Place Board,City of Toronto,65962,710009,1922,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.415090806752, 43.6357915185125]]}"
2136,2136,000549-B01,EXPLACE - EMS STATION NO. 35,265 MANITOBA DR,TORONTO,Spadina-Fort York,Metro Toronto,South,Citizen-Focused Services Group A,EMS Station/Facility,City Use,Toronto Paramedic Services,Toronto Paramedic Services,City of Toronto,270,2906,1992,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4212353836005, 43.6339765032134]]}"
2137,2137,000549-B02,EXPLACE - PF&R OFFICE,275 MANITOBA DR,TORONTO,Spadina-Fort York,Metro Toronto,South,"Agencies, Boards, and Commissions",Office Building - Small,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,373,4010,1912,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4213608540337, 43.633832477388]]}"
2138,2138,006185-B01,THOMAS BERRY CHILD CARE CENTRE,3495 LAKE SHORE BLVD W,ETOBICOKE,Etobicoke-Lakeshore,Etobicoke,West,Citizen-Focused Services Group A,Child Care Centre,City Use,Children's Services,Children's Services,City of Toronto,738,7949,,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5307358195432, 43.5943651258301]]}"
2139,2139,005896-B01,LONG BRANCH PUBLIC LIBRARY,3500 LAKE SHORE BLVD W,TORONTO,Etobicoke-Lakeshore,Etobicoke,West,"Agencies, Boards, and Commissions",Library,City Use,Toronto Public Library Board,Toronto Public Library Board,Toronto Public Library Board,596,6418,1955,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5313221820213, 43.5953057981406]]}"
2140,2140,005861-B01,LONG BRANCH BUS LOOP SHELTER,3830 LAKE SHORE BLVD W,TORONTO,Etobicoke-Lakeshore,Toronto (Old),West,"Agencies, Boards, and Commissions",TTC Facility,City Use,Toronto Transit Commission,Toronto Transit Commission,City of Toronto,57,616,1955,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5433627735843, 43.5923003135667]]}"
2141,2141,007698-B01,LAWRENCE ORTON EARLY LEARNING & CHILD CARE CENTRE,3947 LAWRENCE AVE E,SCARBOROUGH,Scarborough-Guildwood,None,East,Affiliated Corporations and Organizations,Multi-Unit Residence,City Use,Toronto Community Housing Corporation,Toronto Community Housing Corporation,Toronto Community Housing Corporation,604,6506,1990,24,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2038135594819, 43.7638041565578]]}"
2142,2142,005013-B01,TIDES CANADA INITIATIVES SOCIETY,4040 LAWRENCE AVE E,SCARBOROUGH,Scarborough-Guildwood,Metro Toronto,East,Citizen-Focused Services Group A,Community Recreation Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,716,7707,1964,24,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.1990118262469, 43.7660035251012]]}"
2143,2143,005298-B01,WEST POINT AVE SEWAGE PUMPING STATION (UNDERGROUND),4046 LAWRENCE AVE E,SCARBOROUGH,Scarborough-Rouge Park,Metro Toronto,East,Citizen-Focused Services Group B,Pumping Station - Underground,City Use,Toronto Water,Toronto Water,City of Toronto,10,108,1960,25,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.1984560429982, 43.7659704750183]]}"
2144,2144,007447-B01,EMERGENCY SHELTER AT 4117 LAWRENCE AVE E,4117 LAWRENCE AVE E,SCARBOROUGH,Scarborough-Guildwood,None,East,Citizen-Focused Services Group A,Shelter/Hostel,City Use,Toronto Shelter & Support Services,Toronto Shelter & Support Services,City of Toronto,1360,14634,1987,24,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.193515497224, 43.7662675230431]]}"
2145,2145,000582-B15,ASHBRIDGES BAY TP - 'M' BUILDING,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,1040,11194,1949,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2146,2146,000582-B16,ASHBRIDGES BAY TP - DIGESTER GAS CONTROL BLDG,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,16100,173299,1997,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2147,2147,000582-B17,ASHBRIDGES BAY TP - UNDERGROUND PIPE (FINAL TANK),9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,,,1957,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2148,2148,000582-B18,ASHBRIDGES BAY TP - DEWATERING SLUDGE BLDG,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,2100,22604,1990,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2149,2149,000582-B19,ASHBRIDGES BAY TP-DIGESTION TANK&CONTROL BLDG 9-12,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,3231,34778,1962,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2150,2150,005343-B01,MANSE ROAD RESIDENTIAL SUPPORT SERVICES,125 MANSE RD,SCARBOROUGH,Scarborough-Rouge Park,Metro Toronto,East,Internal Services Group,Residential House,City Use,Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,City of Toronto,278,2995,1949,25,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.1720578151544, 43.7616597387819]]}"
2151,2151,003466-B01,HERON PARK - TENNIS CLUBHOUSE,292 MANSE RD,TORONTO,Scarborough-Rouge Park,Scarborough,East,Citizen-Focused Services Group A,Sports Clubhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,115,1238,,25,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.1769383538223, 43.7688556111703]]}"
2152,2152,003466-B03,HERON PARK - COMMUNITY CENTRE & INDOOR ARENA,292 MANSE RD,TORONTO,Scarborough-Rouge Park,Scarborough,East,Citizen-Focused Services Group A,Arena & Community Rec Center,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,5974,64304,1956,25,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.1769383538223, 43.7688556111703]]}"
2153,2153,004947-B01,MARKDALE RECREATIONAL SPORT CLUB & DAY CARE CENTRE,41 MARKDALE AVE,TORONTO,Toronto-St. Paul's,York,South,Citizen-Focused Services Group A,Community Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,170,1832,1962,12,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4300770421584, 43.6934218092463]]}"
2154,2154,002831-B01,NEW TORONTO SEWAGE PUMPING STATION,31 LAKE SHORE DR,TORONTO,Etobicoke-Lakeshore,Etobicoke,West,Citizen-Focused Services Group B,Pumping Station - Above Ground,City Use,Toronto Water,Toronto Water,City of Toronto,139,1496,,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4987914437627, 43.5998695212934]]}"
2155,2155,005602-B01,LAKE SHORE WATER PUMPING STATION,85 LAKE SHORE DR,TORONTO,Etobicoke-Lakeshore,Metro Toronto,West,Citizen-Focused Services Group B,Pumping Station - Above Ground,City Use,Toronto Water,Toronto Water,City of Toronto,362,3894,1975,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5020449269464, 43.594945259875]]}"
2156,2156,002840-B03,ROTARY PARK - LAWN BOWLING GREEN CLUBHOUSE,153 LAKE SHORE DR,TORONTO,Etobicoke-Lakeshore,Etobicoke,West,Citizen-Focused Services Group A,Sports Clubhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,153,1647,1928,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.505561751605, 43.5944895525249]]}"
2157,2157,003499-B01,PORT UNION SEWAGE PUMPING STATION,47 LAKERIDGE DR,TORONTO,Scarborough-Rouge Park,Scarborough,East,Citizen-Focused Services Group B,Pumping Station - Above Ground,City Use,Toronto Water,Toronto Water,City of Toronto,30,324,,25,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.1378739484343, 43.7727825683414]]}"
2158,2158,003466-B04,HERON PARK - MORNINGSIDE PUBLIC LIBRARY,4279 LAWRENCE AVE E,SCARBOROUGH,Scarborough-Rouge Park,Scarborough,East,"Agencies, Boards, and Commissions",Library,City Use,Toronto Public Library Board,Toronto Public Library Board,City of Toronto,650,6997,2006,25,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.1784438469379, 43.769853423439]]}"
2159,2159,003512-B01,POLICE NO. 43 DIVISION & EMS STATION NO. 26,4331 LAWRENCE AVE E,SCARBOROUGH,Scarborough-Rouge Park,Metro Toronto,East,Internal Services Group,Police Station/Facility,City Use,Toronto Police Service,Facilities Management & Real Estate Services,City of Toronto,5017,54000,2005,25,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.1740534091441, 43.770826740643]]}"
2160,2160,005018-B01,CUMBER SEWAGE PUMPING STATION,5310 LAWRENCE AVE E,SCARBOROUGH,Scarborough-Rouge Park,Metro Toronto,East,Citizen-Focused Services Group B,Pumping Station - Above Ground,City Use,Toronto Water,Toronto Water,City of Toronto,275,2960,1996,25,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.1484920436893, 43.7772602004431]]}"
2161,2161,003606-B01,FIRE HALL NO. 215 & EMS MAINTENANCE FACILITIES EAST,5318 LAWRENCE AVE E,SCARBOROUGH,Scarborough-Rouge Park,Scarborough,East,Citizen-Focused Services Group B,Fire & EMS Joint Station,City Use,Fire Services,Fire Services,City of Toronto,518,5571,1974,25,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.1480658922187, 43.7773919350636]]}"
2162,2162,000582-B20,ASHBRIDGES BAY TP-DIGESTION TANK&CONTROL BLDG 1-4,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,3231,34778,1962,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2163,2163,000582-B22,ASHBRIDGES BAY TP - OLD GAS BLDG,9 LESLIE ST,TORONTO,Toronto-Danforth,Metro Toronto,South,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,121,1299,1955,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3257158892297, 43.6562394714735]]}"
2164,2164,007616-B01,CREATETO - SERVICE SHOP BUILDING,12 LESLIE ST,TORONTO,Toronto-Danforth,None,South,Affiliated Corporations and Organizations,Yard Workshop,City Use,CreateTO,CreateTO,TEDCO,1301,14005,1989,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3243079741373, 43.6534887083961]]}"
2165,2165,004769-B01,FIRE HALL NO. 125,1109 LESLIE ST,NORTH YORK,Don Valley East,North York,North,Citizen-Focused Services Group B,Fire Hall/Facility,City Use,Fire Services,Fire Services,City of Toronto,996,10722,1985,16,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3491121871106, 43.721135794691]]}"
2166,2166,003003-B01,WILKET CREEK PARK - WASHROOM & MAINTENANCE BLDG,1120 LESLIE ST,NORTH YORK,Don Valley West,Metro Toronto,North,Citizen-Focused Services Group A,Public Lavatory,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,163,1755,,15,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3530115919713, 43.7214292576288]]}"
2167,2167,007331-B01,ST LAWRENCE INFANT TODDLER CENTRE AT 4 MARKET ST,4 MARKET ST,TORONTO,Spadina-Fort York,Toronto (Amal),South,Internal Services Group,Child Care Centre,City Use,Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,City of Toronto,392,4220,1996,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3717237008426, 43.6477078049434]]}"
2168,2168,007352-B01,CEDARBROOK LODGE - SUPPORTIVE HOUSING PROGRAM,520 MARKHAM RD,SCARBOROUGH,Scarborough-Guildwood,Toronto (Amal),East,None,Multi-Unit Residence,City Use,Commercial Firm,Commercial Firm,Third Party Organization,,,,24,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2249147113661, 43.754867803652]]}"
